Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,eng_line_ratio,eng_word_ratio,avg_rank,months_on_chart,company,gender
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Wings (?†Í?) [Daesung Solo],0VpEWyA1qlKP9XkQ6f4mWB,0.622,0.812,5,-4.585,1,0.0337,0.00222,2.63E-06,0.216,0.354,131.975,222990,4,0.130434783,0.179487179,35.5,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Love Song,784qSLhmIjbc37plSfaPzF,0.554,0.868,2,-3.9,1,0.0455,0.00273,1.06E-05,0.0725,0.301,123.04,225813,4,0.243589744,0.397959184,24.25,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Stupid Liar,0ZHfjGYU26P7B0j1MmHeG8,0.624,0.81,0,-4.322,1,0.0336,0.0627,0,0.105,0.491,127.93,234787,4,0.3625,0.315789474,36,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Tonight,2G8HyURZh9SBNuCzllz8Fu,0.611,0.9,3,-2.57,0,0.0432,0.0785,0,0.413,0.332,129.871,223787,4,0.222222222,0.362745098,50,1,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Tonight,2G8HyURZh9SBNuCzllz8Fu,0.611,0.9,3,-2.57,0,0.0432,0.0785,0,0.413,0.332,129.871,223787,4,0.318181818,0.339160839,32.6,5,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,What Can I Do (?¥Ï??ºÍ?),7ol0oqTmY736rliZnqfG43,0.764,0.945,5,-2.82,1,0.0472,0.0386,0,0.125,0.587,128.023,220693,4,0.461538462,0.397003745,32,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Intro (Thank You & You),3UWJ4kyUTom1dvDTqKYy5h,0.915,0.682,8,-6.85,1,0.376,0.009,1.38E-06,0.0968,0.955,120.016,94573,4,0.793103448,0.637795276,50,1,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Hands Up,1R1wuzQxZhghrjJZvqReyW,0.607,0.948,9,-3.508,0,0.0652,0.0104,0,0.286,0.358,130.031,237253,4,0.625,0.693452381,37.33333333,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Somebody To Love,4UIKBrkH4ZKI2glKwQFDSV,0.778,0.883,1,-3.125,1,0.0492,0.061,0,0.104,0.774,128.005,213640,4,0.577777778,0.577348066,38,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,What Is Right,7lUuLySlWkAAXF2olbxWEV,0.795,0.89,8,-2.78,0,0.0368,0.235,0,0.204,0.734,126.037,224320,4,0.243243243,0.303951368,32.5,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Cafe,4mm23jt7cimDkeHu1VcS2v,0.798,0.749,5,-4.938,0,0.0424,0.229,0,0.338,0.704,106.049,219947,4,0.086206897,0.116465863,31.25,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lollipop Part.2,7jJnHoPel2hxKFlcLgTmoJ,0.834,0.834,1,-3.207,1,0.0275,0.00163,0,0.162,0.803,119.981,200249,4,0.701149425,0.721271394,35.33333333,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Number 1,5gE2yPrsKkVIQ2WXzEKJTF,0.814,0.841,7,-4.716,1,0.0615,0.0255,0,0.486,0.815,115.016,198880,4,1,0.925675676,45.5,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,"So Fresh, So Cool",2DcOhk7VrtahPDRlS7s4B9,0.724,0.863,9,-3.054,0,0.155,0.0163,0,0.31,0.689,140.018,139003,4,0.6,0.633333333,50,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Stylish (The FILA),6S9FpxJXnMHjNlga87fhOi,0.705,0.919,0,-3.897,0,0.069,0.0216,0,0.937,0.501,117.974,196027,4,0.5,0.508417508,33,5,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Intro - Stand Up,4bfKZmzdoP3mJdAYZ8tqw7,0.825,0.883,6,-4.531,1,0.0831,0.0235,0,0.125,0.816,116.919,97293,4,0.5,0.617647059,50,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Haru Haru,1L4d2lafz1odpIMe8va21X,0.687,0.914,6,-5.02,1,0.0437,0.166,0,0.0858,0.675,126.001,256360,4,0,0,50,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Haru Haru,1L4d2lafz1odpIMe8va21X,0.687,0.914,6,-5.02,1,0.0437,0.166,0,0.0858,0.675,126.001,256360,4,0.142857143,0.173202614,20.55555556,9,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,My Heaven,6M78En84cFYQxdYABC2fZO,0.642,0.874,0,-4.915,1,0.0501,0.0802,0,0.343,0.545,128.02,232933,4,0.057971014,0.087649402,25.125,8,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lady,3CXBq32gcN5wlsg4TEPWe9,0.81,0.884,8,-4.146,1,0.0541,0.0734,0,0.144,0.693,103.006,204107,4,0.3625,0.383954155,36.25,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Crazy Dog + ?òÏ? ?çÏ? Í∑∏Î?,5D2eNnN4kcj4EbXzW9oGrk,0.497,0.858,9,-5.5,0,0.135,0.0488,3.46E-06,0.873,0.566,123.122,258067,4,0.391304348,0.516129032,45,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Pretended (Feat. Ji-eun) (T.O.P Solo),6hBqe3XuIo9TWJGdo4RTB5,0.672,0.69,0,-7.64,0,0.15,0.202,0,0.885,0.318,85.989,306787,4,0.165048544,0.185628743,50,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Fool,0K1bxe733BFc74jk4g59ED,0.668,0.779,0,-5.324,1,0.0452,0.116,0,0.314,0.383,124.95,225667,4,0.13,0.155367232,26.6,5,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,But I Love You,5DGzLXYIcoHWbYKmvLdrF2,0.784,0.794,0,-5.039,0,0.163,0.142,0,0.471,0.412,109.976,255013,4,0.26,0.272563177,50,1,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,But I Love You,5DGzLXYIcoHWbYKmvLdrF2,0.784,0.794,0,-5.039,0,0.163,0.142,0,0.471,0.412,109.976,255013,4,0,0,36.2,5,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,But I Love You,5DGzLXYIcoHWbYKmvLdrF2,0.784,0.794,0,-5.039,0,0.163,0.142,0,0.471,0.412,109.976,255013,4,0.221238938,0.232718894,38.8,5,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,I Don't Understand,0zs58tmSn7sHRr330bbNhy,0.722,0.626,9,-6.682,0,0.0321,0.0657,1.28E-06,0.0794,0.844,137.976,245987,4,0.045454545,0.057971014,50,1,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Crazy Dog,1bxmk02EmO6e6ER33ldxcn,0.828,0.75,9,-4.209,0,0.049,0.0662,4.94E-05,0.0826,0.839,122.994,219720,4,0.302631579,0.451713396,50,1,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Last Farewell,7KDHGgYt5fF2Lh9FxMbVML,0.703,0.934,6,-2.92,0,0.167,0.0462,0,0.116,0.821,135.02,231800,4,0.411764706,0.475583864,25.7,10,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6,-5.644,1,0.0568,0.159,0,0.93,0.665,124.986,229120,4,0.514705882,0.535483871,35.33333333,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6,-5.644,1,0.0568,0.159,0,0.93,0.665,124.986,229120,4,0.285714286,0.351428571,25.38461538,13,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6,-5.644,1,0.0568,0.159,0,0.93,0.665,124.986,229120,4,0.117647059,0.111570248,50,1,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6,-5.644,1,0.0568,0.159,0,0.93,0.665,124.986,229120,4,0,0,50,1,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Unknown Number,6b6wrV3LTXnblffTLHpRSx,0.834,0.947,7,-5.785,1,0.0412,0.0263,0,0.0976,0.692,114.986,217600,4,0.012820513,0.029520295,50,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Bigbang,5Bj2xa3irK5eVQVRtn8WrM,0.904,0.614,11,-4.866,1,0.104,0.0301,0,0.249,0.847,101.981,205401,4,0,0,46,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Forever With U (Feat. Park Bom),7czVcA9IUsAy61QdQaX2Tw,0.786,0.662,9,-7.08,0,0.124,0.141,0,0.321,0.75,140.021,218619,4,0.12195122,0.123333333,41.66666667,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,We belong together,7mm0wCVAg6iigOXWEfd4P3,0.773,0.772,2,-5.316,0,0.0419,0.156,0,0.0376,0.716,139.99,238293,4,0.211538462,0.219298246,37,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,We belong together,7mm0wCVAg6iigOXWEfd4P3,0.773,0.772,2,-5.316,0,0.0419,0.156,0,0.0376,0.716,139.99,238293,4,0,0.031496063,50,1,YG,Male
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Sailing (0805),4uJ3OmCWKLIKkk94iJUjE5,0.588,0.586,11,-4.857,1,0.0272,0.71,0,0.102,0.395,141.913,260835,4,0.083333333,0.156097561,50,1,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Catch Me If You Can - Korean Version,5mejZAeca4Ry7Sptw7LnvS,0.714,0.852,9,-2.76,0,0.274,0.0154,0,0.135,0.565,133.989,225173,4,0.459459459,0.541176471,50,1,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Mr.Mr.,3JaMGQXJmtbAhvgl0nBPPN,0.701,0.964,4,-2.037,0,0.127,0.114,9.34E-06,0.153,0.484,113.058,235434,4,0.183673469,0.091603053,24.33333333,3,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Goodbye,2UyyNZgMZwViG27hY0xWcI,0.726,0.755,6,-3.67,0,0.071,0.328,0,0.144,0.621,120.045,193950,4,0.214285714,0.244318182,50,1,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Wait a Minute,0F6LUUpLGKK3JR7yD7nJcT,0.654,0.895,6,-3.454,1,0.0533,0.0696,4.28E-05,0.0653,0.929,133.998,204927,4,0.228070175,0.159793814,50,1,SM,Female
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Hoot,1uLBl4JvBl7bwSRkxmggkS,0.683,0.98,7,-1.493,0,0.0641,0.0754,4.92E-06,0.869,0.934,128.058,199627,4,0.017857143,0.170634921,28.4,5,SM,Female
