Artist,Artist_Id,song_name,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,months_on_chart,eng_line_ratio,eng_word_ratio
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,STUPID LIAR,Stupid Liar,0ZHfjGYU26P7B0j1MmHeG8,0.624,0.81,0.0,-4.322,1.0,0.0336,0.0627,0.0,0.105,0.491,127.93,234787.0,4.0,36.0,3,0.3625,0.3157894736842105
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Tonight (Jeppet Wzsh Mix),Tonight,2G8HyURZh9SBNuCzllz8Fu,0.611,0.9,3.0,-2.57,0.0,0.0432,0.0785,0.0,0.413,0.332,129.871,223787.0,4.0,50.0,1,0.2222222222222222,0.3627450980392157
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,TONIGHT,Tonight,2G8HyURZh9SBNuCzllz8Fu,0.611,0.9,3.0,-2.57,0.0,0.0432,0.0785,0.0,0.413,0.332,129.871,223787.0,4.0,32.6,5,0.3181818181818182,0.3391608391608391
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,어쩌라고,What Can I Do (어쩌라고),7ol0oqTmY736rliZnqfG43,0.764,0.945,5.0,-2.82,1.0,0.0472,0.0386,0.0,0.125,0.587,128.023,220693.0,4.0,32.0,3,0.4615384615384615,0.3970037453183521
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,INTRO (THANK YOU & YOU),Intro (Thank You & You),3UWJ4kyUTom1dvDTqKYy5h,0.915,0.682,8.0,-6.85,1.0,0.376,0.009,1.38e-06,0.0968,0.955,120.016,94573.0,4.0,50.0,1,0.7931034482758621,0.6377952755905512
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,HANDS UP,Hands Up,1R1wuzQxZhghrjJZvqReyW,0.607,0.948,9.0,-3.508,0.0,0.0652,0.0104,0.0,0.286,0.358,130.031,237253.0,4.0,37.333333333333336,3,0.625,0.6934523809523809
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,SOMEBODY TO LOVE,Somebody To Love,4UIKBrkH4ZKI2glKwQFDSV,0.778,0.883,1.0,-3.125,1.0,0.0492,0.061,0.0,0.104,0.774,128.005,213640.0,4.0,38.0,3,0.5777777777777777,0.5773480662983426
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,WHAT IS RIGHT,What Is Right,7lUuLySlWkAAXF2olbxWEV,0.795,0.89,8.0,-2.78,0.0,0.0368,0.235,0.0,0.204,0.734,126.037,224320.0,4.0,32.5,4,0.2432432432432432,0.303951367781155
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,CAFE,Cafe,4mm23jt7cimDkeHu1VcS2v,0.798,0.749,5.0,-4.938,0.0,0.0424,0.229,0.0,0.338,0.704,106.049,219947.0,4.0,31.25,4,0.0862068965517241,0.1164658634538152
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lollipop Pt.2,Lollipop Part.2,7jJnHoPel2hxKFlcLgTmoJ,0.834,0.834,1.0,-3.207,1.0,0.0275,0.00163,0.0,0.162,0.803,119.981,200249.0,4.0,35.333333333333336,3,0.7011494252873564,0.7212713936430318
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Number 1,Number 1,5gE2yPrsKkVIQ2WXzEKJTF,0.814,0.841,7.0,-4.716,1.0,0.0615,0.0255,0.0,0.486,0.815,115.016,198880.0,4.0,45.5,4,1.0,0.9256756756756755
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,"So Fresh, So Cool","So Fresh, So Cool",2DcOhk7VrtahPDRlS7s4B9,0.724,0.863,9.0,-3.054,0.0,0.155,0.0163,0.0,0.31,0.689,140.018,139003.0,4.0,50.0,2,0.6,0.6333333333333333
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Stylish (The FILA),Stylish (The FILA),6S9FpxJXnMHjNlga87fhOi,0.705,0.919,0.0,-3.897,0.0,0.069,0.0216,0.0,0.937,0.501,117.974,196027.0,4.0,33.0,5,0.5,0.5084175084175084
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Intro (Stand Up),Intro - Stand Up,4bfKZmzdoP3mJdAYZ8tqw7,0.825,0.883,6.0,-4.531,1.0,0.0831,0.0235,0.0,0.125,0.816,116.919,97293.0,4.0,50.0,2,0.5,0.6176470588235294
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,출국 (出國),Haru Haru,1L4d2lafz1odpIMe8va21X,0.687,0.914,6.0,-5.02,1.0,0.0437,0.166,0.0,0.0858,0.675,126.001,256360.0,4.0,20.666666666666668,3,0.0175438596491228,0.0184049079754601
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,행복해야 해,Haru Haru,1L4d2lafz1odpIMe8va21X,0.687,0.914,6.0,-5.02,1.0,0.0437,0.166,0.0,0.0858,0.675,126.001,256360.0,4.0,50.0,2,0.0,0.0
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,하루 하루,Haru Haru,1L4d2lafz1odpIMe8va21X,0.687,0.914,6.0,-5.02,1.0,0.0437,0.166,0.0,0.0858,0.675,126.001,256360.0,4.0,20.55555555555556,9,0.1428571428571428,0.1732026143790849
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,천국,My Heaven,6M78En84cFYQxdYABC2fZO,0.642,0.874,0.0,-4.915,1.0,0.0501,0.0802,0.0,0.343,0.545,128.02,232933.0,4.0,25.125,8,0.0579710144927536,0.0876494023904382
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lady,Lady,3CXBq32gcN5wlsg4TEPWe9,0.81,0.884,8.0,-4.146,1.0,0.0541,0.0734,0.0,0.144,0.693,103.006,204107.0,4.0,36.25,4,0.3625,0.3839541547277937
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Crazy Dog (Sampling By 환상 속의 그대 Of Taijiboys),Crazy Dog + 환상 속의 그대,5D2eNnN4kcj4EbXzW9oGrk,0.497,0.858,9.0,-5.5,0.0,0.135,0.0488,3.46e-06,0.873,0.566,123.122,258067.0,4.0,45.0,4,0.391304347826087,0.5161290322580645
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,아무렇지 않은 척,Pretended (Feat. Ji-eun) (T.O.P Solo),6hBqe3XuIo9TWJGdo4RTB5,0.672,0.69,0.0,-7.64,0.0,0.15,0.202,0.0,0.885,0.318,85.989,306787.0,4.0,50.0,2,0.1650485436893204,0.18562874251497
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,바보,Fool,0K1bxe733BFc74jk4g59ED,0.668,0.779,0.0,-5.324,1.0,0.0452,0.116,0.0,0.314,0.383,124.95,225667.0,4.0,26.6,5,0.13,0.1553672316384181
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,V.I.P,But I Love You,5DGzLXYIcoHWbYKmvLdrF2,0.784,0.794,0.0,-5.039,0.0,0.163,0.142,0.0,0.471,0.412,109.976,255013.0,4.0,50.0,1,0.26,0.2725631768953068
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,얼마나 (Feat. 버블 시스터즈),But I Love You,5DGzLXYIcoHWbYKmvLdrF2,0.784,0.794,0.0,-5.039,0.0,0.163,0.142,0.0,0.471,0.412,109.976,255013.0,4.0,36.2,5,0.0,0.0
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,But I Love U (Sampling By Rhu Of Redd Holt Unlimited),But I Love You,5DGzLXYIcoHWbYKmvLdrF2,0.784,0.794,0.0,-5.039,0.0,0.163,0.142,0.0,0.471,0.412,109.976,255013.0,4.0,38.8,5,0.2212389380530973,0.2327188940092165
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,I Don't Understand,I Don't Understand,0zs58tmSn7sHRr330bbNhy,0.722,0.626,9.0,-6.682,0.0,0.0321,0.0657,1.28e-06,0.0794,0.844,137.976,245987.0,4.0,50.0,1,0.0454545454545454,0.0579710144927536
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Crazy Dog + 환상 속의 그대,Crazy Dog,1bxmk02EmO6e6ER33ldxcn,0.828,0.75,9.0,-4.209,0.0,0.049,0.0662,4.94e-05,0.0826,0.839,122.994,219720.0,4.0,50.0,1,0.3026315789473684,0.4517133956386293
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,마지막 인사,Last Farewell,7KDHGgYt5fF2Lh9FxMbVML,0.703,0.934,6.0,-2.92,0.0,0.167,0.0462,0.0,0.116,0.821,135.02,231800.0,4.0,25.7,10,0.4117647058823529,0.4755838641188959
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,La La La,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6.0,-5.644,1.0,0.0568,0.159,0.0,0.93,0.665,124.986,229120.0,4.0,35.333333333333336,3,0.5147058823529411,0.535483870967742
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,거짓말,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6.0,-5.644,1.0,0.0568,0.159,0.0,0.93,0.665,124.986,229120.0,4.0,25.384615384615383,13,0.2857142857142857,0.3514285714285714
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Always,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6.0,-5.644,1.0,0.0568,0.159,0.0,0.93,0.665,124.986,229120.0,4.0,50.0,1,0.1176470588235294,0.1115702479338843
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,없는 번호,Unknown Number,6b6wrV3LTXnblffTLHpRSx,0.834,0.947,7.0,-5.785,1.0,0.0412,0.0263,0.0,0.0976,0.692,114.986,217600.0,4.0,50.0,2,0.0128205128205128,0.029520295202952
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Forever With You,Forever With U (Feat. Park Bom),7czVcA9IUsAy61QdQaX2Tw,0.786,0.662,9.0,-7.08,0.0,0.124,0.141,0.0,0.321,0.75,140.021,218619.0,4.0,41.66666666666666,3,0.1219512195121951,0.1233333333333333
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,We Belong Together,We belong together,7mm0wCVAg6iigOXWEfd4P3,0.773,0.772,2.0,-5.316,0.0,0.0419,0.156,0.0,0.0376,0.716,139.99,238293.0,4.0,37.0,4,0.2115384615384615,0.219298245614035
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,사랑해 ('우리 결혼했어요' 삽입곡),We belong together,7mm0wCVAg6iigOXWEfd4P3,0.773,0.772,2.0,-5.316,0.0,0.0419,0.156,0.0,0.0376,0.716,139.99,238293.0,4.0,50.0,1,0.0,0.0314960629921259
SNSD,0Sadg1vgvaPqGTOjxu0N6c,0805,Sailing (0805),4uJ3OmCWKLIKkk94iJUjE5,0.588,0.586,11.0,-4.857,1.0,0.0272,0.71,0.0,0.102,0.395,141.913,260835.0,4.0,50.0,1,0.0833333333333333,0.1560975609756097
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Catch Me If You Can,Catch Me If You Can - Korean Version,5mejZAeca4Ry7Sptw7LnvS,0.714,0.852,9.0,-2.76,0.0,0.274,0.0154,0.0,0.135,0.565,133.989,225173.0,4.0,50.0,1,0.4594594594594595,0.5411764705882353
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Mr.Mr.,Mr.Mr.,3JaMGQXJmtbAhvgl0nBPPN,0.701,0.964,4.0,-2.037,0.0,0.127,0.114,9.34e-06,0.153,0.484,113.058,235434.0,4.0,24.33333333333333,3,0.1836734693877551,0.0916030534351145
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Goodbye,Goodbye,2UyyNZgMZwViG27hY0xWcI,0.726,0.755,6.0,-3.67,0.0,0.071,0.328,0.0,0.144,0.621,120.045,193950.0,4.0,50.0,1,0.2142857142857142,0.2443181818181818
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Wait A Minute,Wait a Minute,0F6LUUpLGKK3JR7yD7nJcT,0.654,0.895,6.0,-3.454,1.0,0.0533,0.0696,4.28e-05,0.0653,0.929,133.998,204927.0,4.0,50.0,1,0.2280701754385964,0.1597938144329896
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Hoot,Hoot,1uLBl4JvBl7bwSRkxmggkS,0.683,0.98,7.0,-1.493,0.0,0.0641,0.0754,4.92e-06,0.869,0.934,128.058,199627.0,4.0,28.4,5,0.0178571428571428,0.1706349206349206
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Mistake,Mistake,6BrhkD3BvUf1EFrWBqxVzf,0.597,0.664,2.0,-3.873,1.0,0.0293,0.307,0.0,0.116,0.129,124.005,249013.0,4.0,50.0,1,0.0,0.0
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Etude,Etude,7kw83bSrpGoH34GP92Y9HZ,0.716,0.912,4.0,-2.678,0.0,0.0798,0.285,0.0,0.0996,0.631,128.009,193853.0,4.0,50.0,2,0.2222222222222222,0.1629213483146067
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Way To Go,Way to Go,2DT90JqDCM9HOTmMBukznE,0.419,0.962,5.0,-1.979,1.0,0.195,0.0317,0.0,0.198,0.528,179.798,183933.0,4.0,50.0,5,0.1136363636363636,0.1542857142857142
SNSD,0Sadg1vgvaPqGTOjxu0N6c,가시같은 사랑,Destiny,2cHUUBY7icbhD2eDGrBDEJ,0.648,0.983,4.0,-2.75,0.0,0.0964,0.203,0.0,0.226,0.72,173.978,205907.0,4.0,50.0,2,0.0,0.0
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Holding Back The Tears,Holding Back The Tears,5r9DA7ciY71VEgcjkiZXDC,0.503,0.475,2.0,-7.121,1.0,0.0253,0.0961,0.0,0.0883,0.263,75.996,229867.0,4.0,50.0,1,0.1071428571428571,0.096
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Show Me Your Love,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11.0,-1.616,0.0,0.0756,0.123,0.0,0.304,0.668,117.033,245227.0,4.0,13.333333333333334,3,0.0,0.0
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Show Me Your Love,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11.0,-1.616,0.0,0.0756,0.123,0.0,0.304,0.668,117.033,245227.0,4.0,40.333333333333336,3,0.2428571428571428,0.2309782608695652
TVXQ,6nVMMEywS5Y4tsHPKx1nIo,Hi Ya Ya,Hi Ya Ya 여름날,5lC4gziKMPSihnedZbwAEn,0.711,0.909,10.0,-2.431,1.0,0.0411,0.0128,0.0,0.108,0.698,126.013,211400.0,4.0,28.0,3,0.2666666666666666,0.4285714285714285
SS501,6rmMpoeu2SIV4OLURCOn2e,눈물이 흐를때,Love Ya,6nW76DRJWhwBnhTLVripJe,0.328,0.864,1.0,-5.457,1.0,0.445,0.0271,0.0,0.375,0.633,167.913,205507.0,4.0,45.0,1,0.0,0.0
SS501,6rmMpoeu2SIV4OLURCOn2e,Love Ya,Love Ya,6nW76DRJWhwBnhTLVripJe,0.328,0.864,1.0,-5.457,1.0,0.445,0.0271,0.0,0.375,0.633,167.913,205507.0,4.0,31.5,2,0.4268292682926829,0.4514435695538057
SS501,6rmMpoeu2SIV4OLURCOn2e,Love Like This (네게로),Love Like This,6ikuCPBHanUnebgfeGJ0id,0.581,0.838,11.0,-4.051,0.0,0.0783,0.0268,0.0,0.209,0.771,155.891,168653.0,4.0,29.33333333333333,3,0.3617021276595745,0.4435797665369649
SS501,6rmMpoeu2SIV4OLURCOn2e,U R Man,U R Man,4EKS4BdlS8yL7iMbE8G35Z,0.81,0.905,11.0,-7.415,0.0,0.0342,0.058,3.17e-06,0.149,0.908,117.011,203678.0,4.0,25.6,5,0.3614457831325301,0.2578397212543554
SS501,6rmMpoeu2SIV4OLURCOn2e,데자뷰,Dejavu,4Q4JDOphODwPg9QcFqiPyN,0.682,0.737,1.0,-3.723,1.0,0.049,0.0406,0.0,0.0688,0.63,116.988,212253.0,4.0,50.0,1,0.125,0.1634615384615384
SS501,6rmMpoeu2SIV4OLURCOn2e,Snow Prince,Snow Prince,1RDa57Qh5kWFYUHkQuwSJa,0.73,0.922,7.0,-1.831,1.0,0.0702,0.284,0.0,0.467,0.811,126.981,204973.0,4.0,50.0,2,0.4375,0.460093896713615
SS501,6rmMpoeu2SIV4OLURCOn2e,Fighter,Fighter,75UvUQ41sU974zrlKfsKmg,0.6,0.953,10.0,-1.735,0.0,0.0981,0.097,0.0,0.0694,0.324,117.035,213693.0,4.0,50.0,2,0.282051282051282,0.3571428571428571
SS501,6rmMpoeu2SIV4OLURCOn2e,경고,Warning,6U1mhkkJ8xSLK8NtZaURop,0.765,0.639,4.0,-8.641,0.0,0.102,0.0316,0.0,0.0844,0.791,115.038,188362.0,4.0,39.0,3,0.0,0.0
SS501,6rmMpoeu2SIV4OLURCOn2e,Never Again,Never Again,6aj3Qh9nJS2ali3Ba6Tb04,0.674,0.503,5.0,-7.197,0.0,0.0273,0.175,0.0,0.126,0.351,136.024,285716.0,4.0,50.0,3,0.2325581395348837,0.2926829268292683
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,입술을 깨물고,Bite the lips,26dBQr6YNT7O1jtnq8HWyE,0.629,0.941,0.0,-1.952,1.0,0.0507,0.253,0.0,0.238,0.537,132.006,215599.0,4.0,50.0,1,0.0,0.0
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,It's You,너라고 It's You,2TG8kKgwsyyZU8lZIH6SZ1,0.752,0.934,7.0,-3.541,0.0,0.0361,0.092,8.8e-06,0.14,0.668,119.996,231493.0,4.0,22.0,4,0.2,0.1556291390728476
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,U,U,7HKkudjI7pofH9oDqt3Y1T,0.791,0.871,6.0,-3.769,0.0,0.132,0.169,0.0,0.0923,0.805,115.025,226747.0,4.0,18.75,4,0.3125,0.3571428571428571
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,U-Go-Girl (With 낯선),U,7HKkudjI7pofH9oDqt3Y1T,0.791,0.871,6.0,-3.769,0.0,0.132,0.169,0.0,0.0923,0.805,115.025,226747.0,4.0,21.5,6,0.6082474226804123,0.6834170854271356
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,그 남자는 반대,U,7HKkudjI7pofH9oDqt3Y1T,0.791,0.871,6.0,-3.769,0.0,0.132,0.169,0.0,0.0923,0.805,115.025,226747.0,4.0,50.0,1,0.3125,0.4345047923322683
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,Show Me Your Love,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11.0,-1.616,0.0,0.0756,0.123,0.0,0.304,0.668,117.033,245227.0,4.0,13.333333333333334,3,0.0,0.0
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,Show Me Your Love,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11.0,-1.616,0.0,0.0756,0.123,0.0,0.304,0.668,117.033,245227.0,4.0,40.333333333333336,3,0.2428571428571428,0.2309782608695652
KARA,7aZ221EQfonNG2lO9Hh192,CUPID,CUPID,07hKkdYLE3brEV4WelMT7z,0.768,0.845,6.0,-2.567,0.0,0.0644,0.00532,2.43e-06,0.0916,0.861,122.003,205793.0,4.0,50.0,1,0.2531645569620253,0.2740740740740741
KARA,7aZ221EQfonNG2lO9Hh192,이별 이야기,Story,3UJjxZWuMMtAL9ymz44UAM,0.547,0.772,11.0,-4.132,1.0,0.247,0.35,1.03e-05,0.0808,0.618,173.795,243357.0,4.0,39.0,1,0.0,0.0
KARA,7aZ221EQfonNG2lO9Hh192,Pandora,Pandora,4ZtxMLkrwisNoHKVKmO4gA,0.567,0.973,4.0,-2.492,0.0,0.101,0.0202,1.63e-05,0.295,0.701,140.058,193107.0,4.0,34.25,4,0.3571428571428571,0.4506437768240343
KARA,7aZ221EQfonNG2lO9Hh192,Jumping,Jumping,50TJXtdJhN2x6zxcp4pKZN,0.585,0.99,5.0,-1.781,0.0,0.164,0.00278,0.00178,0.2,0.776,125.974,179053.0,4.0,24.25,4,0.2903225806451613,0.3937823834196891
KARA,7aZ221EQfonNG2lO9Hh192,Lupin,Lupin,3RmwOvD5VBSsqSES1GsFX6,0.693,0.927,0.0,-2.792,1.0,0.0661,0.00293,0.00668,0.118,0.543,135.934,192440.0,4.0,23.4,5,0.6666666666666666,0.6716417910447762
KARA,7aZ221EQfonNG2lO9Hh192,Honey,Honey,7K0qoyK48Um3llVR4TH0rI,0.646,0.99,6.0,-1.72,1.0,0.0726,0.0766,5.08e-05,0.175,0.739,139.973,195000.0,4.0,28.4,5,0.3548387096774194,0.3715596330275229
